"","plot_i","sp_i","level_used","sample_size"
"53","WAY-01","Clusia flaviflora","a","15"
"54","SPD-01","Miconia calophylla","d","91"
"55","WAY-01","Prunus integrifolia","a","9"
"56","SPD-01","Matayba indet","h","6"
"57","SPD-01","Hieronyma moritziana","d","12"
"58","SPD-01","Clusia indet","b","30"
"59","SPD-01","Alsophila erinacea","f","24"
"60","ESP-01","Prunus integrifolia","a","15"
"61","PAN-03","Guatteria guentheri","d","35"
"62","SPD-02","Rhodostemonodaphne kunthiana","e","27"
"63","TRU-04","Cyathea caracasana","c","15"
"64","WAY-01","Styrax foveolaria","h","8"
"65","SPD-01","Alchornea indet","c","15"
"66","WAY-01","Persea indet","b","21"
"67","SPD-01","Talauma indet","h","4"
"68","WAY-01","Myrsine coriacea","a","15"
"69","ACJ-01","Clethra cuneata","a","18"
"70","ESP-01","Oreopanax indet","c","20"
"71","SPD-01","Cecropia indet","c","1"
"72","SPD-02","Cabralea canjerana","e","9"
"73","TAM-05","Sterculia tessmannii","e","12"
"74","TAM-06","Thyrsodium spruceanum","f","32"
"75","TRU-04","Weinmannia bangii","a","30"
"76","SPD-01","Hedyosmum cuatrecazanum","a","11"
"77","WAY-01","Axinaea pennellii","a","15"
"78","WAY-01","Prunus huantensis","c","9"
"79","TAM-05","Oenocarpus bataua","h","2"
"80","WAY-01","Myrsine indet","c","15"
"81","SPD-01","Cecropia angustifolia","a","1"
"82","SPD-01","Myrsine indet","d","84"
"83","SPD-01","Miconia axinaeoides","d","91"
"84","WAY-01","Miconia indet","b","30"
"85","ACJ-01","Symplocos baehnii","a","34"
"86","ESP-01","Weinmannia bangii","a","21"
"87","SPD-02","Cinchona micrantha","a","12"
"88","TAM-05","Pourouma minor","a","6"
"89","SPD-01","Turpinia occidentalis","f","10"
"90","SPD-01","Hieronyma indet","d","12"
"91","TAM-06","Myroxylon balsamum","f","74"
"92","SPD-01","Myrcia fallax","h","13"
"93","WAY-01","Ocotea indet","b","40"
"94","WAY-01","Viburnum reticulatum","h","89"
"95","WAY-01","Freziera parva","b","21"
"96","ACJ-01","Miconia setulosa","a","24"
"97","ESP-01","Axinaea indet","d","15"
"98","PAN-03","Abarema jupunba","e","15"
"99","SPD-01","Pseudolmedia rigida","a","15"
"100","SPD-02","Vochysia indet","f","9"
"101","TAM-05","Macoubea guianensis","f","15"
"102","TAM-06","Tetragastris altissima","f","12"
"103","TRU-04","Myrsine coriacea","a","24"
"104","WAY-01","Pentacalia sp. 28009(CSP)","a","1"
"105","TAM-05","Inga alba","d","23"
"106","SPD-01","Hedyosmum peruvianum","c","11"
"107","SPD-01","Guettarda crispiflora","e","16"
"108","SPD-01","Cupania indet","h","9"
"109","WAY-01","Prunus indet","b","6"
"110","SPD-01","Miconia ternatifolia","d","91"
"111","ESP-01","Meliosma frondosa","a","30"
"112","SPD-02","Pourouma bicolor","a","18"
"113","TAM-05","Pterocarpus indet","a","9"
"114","TAM-06","Trigynaea duckei","f","35"
"115","WAY-01","Clusia alata","a","20"
"116","SPD-01","Pourouma bicolor","b","33"
"117","SPD-01","Inga nobilis","c","12"
"118","ACJ-01","Symplocos psiloclada","c","49"
"119","PAN-03","Sloanea guianensis","a","18"
"120","SPD-02","Inga killipiana","d","23"
"121","TAM-05","Ouratea indet","a","18"
"122","TAM-06","Pseudolmedia laevis","b","3"
"123","SPD-01","Heliocarpus americanus","b","11"
"124","SPD-01","Cupania rubiginosa","h","9"
"125","SPD-01","Endlicheria indet","d","18"
"126","WAY-01","Oreopanax indet","d","20"
"127","SPD-01","Casearia zahlbruckneri","h","42"
"128","SPD-01","Guarea indet","d","9"
"129","PAN-03","Inga nobilis","d","23"
"130","SPD-02","Tachigali setifera","a","15"
"131","TAM-05","Inga heterophylla","d","23"
"132","TAM-06","Brosimum alicastrum","a","4"
"133","SPD-01","Erythroxylum squamatum","h","34"
"134","SPD-01","Sloanea fragrans","d","42"
"135","SPD-01","Oreopanax capitatus","d","20"
"136","WAY-01","Hesperomeles ferruginea","a","15"
"137","SPD-01","Meliosma indet","a","6"
"138","PAN-03","Joosia umbellifera","e","27"
"139","TAM-05","Iriartea deltoidea","h","1"
"140","WAY-01","Hedyosmum maximum","a","3"
"141","TAM-06","Celtis iguanaea","c","6"
"142","SPD-01","Rudgea foveolata","e","16"
"143","SPD-01","Guarea kunthiana","b","9"
"144","WAY-01","Persea corymbosa","d","36"
"145","SPD-01","Ficus indet","c","15"
"146","SPD-01","Casearia indet","h","42"
"147","TAM-06","Capparis amplissima","h","20"
"148","ACJ-01","Weinmannia cochensis","d","124"
"149","PAN-02","Alchornea glandulosa","d","70"
"150","PAN-03","Tachigali setifera","a","15"
"151","SPD-02","Miconia indet","b","30"
"152","TAM-05","Amaioua guianensis","f","76"
"153","TAM-06","Terminalia amazonia","h","23"
"154","TRU-04","Cinchona macrocalyx","c","21"
"155","ACJ-01","Pentacalia indet","d","1"
"156","ESP-01","Miconia indet","b","30"
"157","PAN-03","Schizocalyx obovatus ","a","9"
"158","SPD-01","Plinia indet","h","4"
"159","TAM-05","Alchornea triplinervia","d","70"
"160","TAM-06","Iriartea deltoidea","h","1"
"161","TRU-04","Clusia alata","a","28"
"162","SPD-01","Isertia laevis","e","16"
"163","SPD-01","Eugenia florida","h","77"
"164","SPD-01","Symplocos arechea","d","76"
"165","SPD-01","Meriania indet","a","9"
"166","ESP-01","Nectandra indet","d","9"
"167","PAN-03","Inga indet","b","12"
"168","SPD-02","Licaria cannella","e","27"
"169","TAM-05","Pseudolmedia macrophylla","c","21"
"170","SPD-01","Guatteria duodecima","c","17"
"171","SPD-01","Mollinedia simulans","d","18"
"172","SPD-02","Virola sebifera","a","15"
"173","TAM-05","Iryanthera juruensis","f","15"
"174","SPD-01","Guatteria indet","c","17"
"175","SPD-01","Byrsonima indet","h","3"
"176","SPD-01","Ormosia indet","e","12"
"177","ACJ-01","Weinmannia fagaroides","d","124"
"178","PAN-03","Caryocar amygdaliforme","a","21"
"179","SPD-01","Pourouma mollis","b","21"
"180","SPD-02","Nectandra indet","c","9"
"181","SPD-01","Endlicheria griseo-sericea","d","18"
"182","ACJ-01","Miconia indet","b","30"
"183","ESP-01","Aniba indet","f","153"
"184","PAN-03","Protium sagotianum","d","12"
"185","SPD-01","Dendropanax indet","a","11"
"186","SPD-02","Inga nobilis","d","23"
"187","TAM-06","Sloanea obtusifolia","d","42"
"188","SPD-01","Tapirira obtusa","b","6"
"189","SPD-01","Roupala monosperma","h","3"
"190","SPD-02","Neea parviflora","h","23"
"191","TAM-06","Scheelea cephalotes","i","61"
"192","SPD-01","Trichilia indet","f","9"
"193","SPD-01","Myrsine youngii","d","84"
"194","SPD-01","Weinmannia pinnata","d","124"
"195","ESP-01","Myrsine coriacea","a","18"
"196","SPD-01","Elaeagia mariae","c","16"
"197","SPD-02","Cecropia angustifolia","a","6"
"198","SPD-01","Clarisia indet","d","6"
"199","TAM-05","Inga tenuistipula","d","23"
"200","SPD-01","Ficus americana","a","15"
"201","PAN-03","Hevea guianensis","a","9"
"202","SPD-01","Phyllanthus attenuatus","f","12"
"203","PAN-03","Tapirira guianensis","b","17"
"204","SPD-01","Piper obliquum","h","45"
"205","TAM-06","Ficus schultesii","d","21"
"206","SPD-01","Viburnum hallii","h","89"
"207","TAM-06","Inga indet","b","12"
"208","SPD-01","Trattinnickia burserifolia","e","12"
"209","ESP-01","Clusia elliptica","a","11"
"210","SPD-02","Mollinedia lanceolata","a","18"
"211","WAY-01","Weinmannia auriculata","c","37"
"212","TAM-06","Theobroma speciosum","f","23"
"213","TAM-05","Miconia punctata","d","91"
"214","ACJ-01","Hedyosmum indet","a","30"
"215","PAN-02","Pourouma mollis","a","9"
"216","SPD-01","Pouteria torta","a","18"
"217","SPD-02","Ceiba samauma","e","11"
"218","TRU-04","Miconia micropetala","b","18"
"219","SPD-02","Meliosma indet","b","6"
"220","TAM-05","Pseudolmedia laevigata","a","18"
"221","SPD-01","Ocotea indet","a","12"
"222","ESP-01","Symplocos reflexa","a","27"
"223","PAN-03","Brosimum utile","d","10"
"224","TAM-05","Tapirira guianensis","b","17"
"225","WAY-01","Clethra indet","c","15"
"226","TAM-05","Bixa arborea","a","18"
"227","TAM-06","Symphonia globulifera","f","181"
"228","SPD-01","Mollinedia indet","d","18"
"229","SPD-01","Mollinedia racemosa","d","18"
"230","SPD-02","Brunellia stenoptera","a","10"
"231","TAM-05","Sclerolobium bracteosum","e","21"
"232","TAM-06","Pouteria indet","c","6"
"233","SPD-01","Roupala montana","h","3"
"234","PAN-03","Micropholis guyanensis","a","18"
"235","SPD-02","Miconia elongata","d","91"
"236","TRU-04","Cinchona calisaya","a","21"
"237","TAM-05","Pourouma cucura","c","12"
"238","SPD-01","Dendropanax williamsii","c","11"
"239","PAN-03","Neea floribunda","h","23"
"240","SPD-01","Miconia spennerostachya","d","91"
"241","TAM-06","Malmea dielsiana","f","35"
"242","TAM-05","Pourouma guianensis","a","6"
"243","PAN-03","Sloanea obtusifolia","c","42"
"244","SPD-01","Saurauia indet","h","11"
"245","TAM-05","Hevea guianensis","b","9"
"246","TRU-04","Oreopanax indet","d","20"
"247","SPD-01","Lissocarpa indet","a","21"
"248","SPD-01","Protium indet","c","12"
"249","SPD-01","Hedyosmum racemosum","c","11"
"250","SPD-01","Ilex indet","c","15"
"251","SPD-01","Beilschmiedia latifolia","e","12"
"252","SPD-01","Tovomita weddelliana","e","24"
"253","PAN-03","Virola calophylla","d","15"
"254","SPD-01","Spirotheca rosea","f","23"
"255","TAM-05","Siparuna decipiens","h","12"
"256","TAM-06","Simarouba amara","h","15"
"257","TRU-04","Weinmannia reticulata","a","9"
"258","TAM-06","Parkia nitida","f","74"
"259","PAN-03","Chrysophyllum lucentifolium","d","18"
"260","SPD-01","Virola duckei","d","15"
"261","TAM-06","Inga splendens","d","23"
"262","ESP-01","Clethra indet","d","33"
"263","TRU-04","Cyathea delgadii","a","15"
"264","SPD-02","Myrsine pellucida","d","84"
"265","TAM-05","Euterpe precatoria","h","3"
"266","TAM-06","Turpinia occidentalis","f","10"
"267","TAM-06","Castilla ulei","e","4"
"268","SPD-01","Mollinedia lanceolata","b","18"
"269","TAM-06","Astrocaryum murumuru","h","3"
"270","TAM-05","Pourouma mollis","b","21"
"271","ACJ-01","Polylepis pauta","f","60"
"272","ESP-01","Miconia micropetala","a","18"
"273","PAN-02","Coussapoa manuensis","a","18"
"274","PAN-03","Protium altsonii","d","12"
"275","SPD-01","Cabralea canjerana","f","9"
"276","TAM-06","Glycydendron amazonicum","f","136"
"277","TRU-04","Clusia indet","a","30"
"278","SPD-02","Ilex gabrielleana","b","15"
"279","TAM-06","Pourouma substrigosa","d","69"
"280","SPD-01","Guatteria boliviana","c","17"
"281","TAM-05","Conceveiba guianensis","f","136"
"282","TAM-05","Sarcaulus brasiliensis","e","8"
"283","TAM-06","Aniba indet","f","153"
"284","SPD-01","Inga heterophylla","c","12"
"285","PAN-03","Sloanea meianthera","a","18"
"286","TAM-05","Eschweilera coriacea","a","12"
"287","TAM-06","Lonchocarpus indet","f","74"
"288","SPD-01","Schefflera indet","e","11"
"289","SPD-01","Panopsis pearcei","h","2"
"290","SPD-01","Clusia elliptica","a","12"
"291","SPD-01","Perrottetia distichophylla","d","18"
"292","SPD-02","Euterpe precatoria","h","3"
"293","TAM-05","Iryanthera laevis","f","15"
"294","SPD-01","Prunus indet","a","6"
"295","SPD-01","Calyptranthes indet","h","23"
"296","ACJ-01","Persea ruizii","a","15"
"297","PAN-03","Iryanthera juruensis","f","15"
"298","TAM-05","Leonia glycycarpa","a","12"
"299","TAM-06","Pourouma cecropiifolia","d","69"
"300","WAY-01","Escallonia paniculata","h","15"
"301","SPD-01","Ladenbergia oblongifolia","e","16"
"302","SPD-01","Pseudolmedia indet","c","15"
"303","TAM-05","Calycophyllum megistocaulum","f","76"
"304","TAM-06","Zanthoxylum acreanum","h","29"
"305","SPD-01","Mollinedia pulcherrima","d","18"
"306","TAM-05","Annona ambotay","f","35"
"307","SPD-01","Dendropanax cuneatus","c","11"
"308","ESP-01","Oreopanax microflorous","a","20"
"309","TRU-04","Prunus debilis","a","15"
"310","ESP-01","Hedyosmum indet","b","30"
"311","SPD-01","Clusia thurifera","a","12"
"312","ESP-01","Podocarpus oleifolius","f","3"
"313","TAM-06","Guarea gomma","d","9"
"314","SPD-02","Nectandra reticulata","a","9"
"315","SPD-01","Ternstroemia globiflora","f","21"
"316","PAN-02","Tapirira guianensis","a","16"
"317","TAM-06","Maquira guianensis","e","4"
"318","TRU-04","Gordonia fruticosa","a","27"
"319","SPD-02","Joosia umbellifera","e","12"
"320","TAM-05","Licaria aurea","e","15"
"321","TAM-06","Mabea nitida","f","136"
"322","SPD-01","Pouteria guianensis","c","18"
"323","PAN-03","Lacistema aggregatum","h","24"
"324","TAM-06","Sterculia tessmannii","f","23"
"325","TAM-06","Guarea glabra","d","9"
"326","SPD-01","Symplocos indet","d","76"
"327","PAN-02","Chrysophyllum amazonicum","d","18"
"328","ESP-01","Symplocos spruceana","c","27"
"329","SPD-02","Coussapoa villosa","a","16"
"330","TAM-06","Ruizodendron ovale","f","35"
"331","PAN-03","Cecropia polystachya","d","7"
"332","SPD-02","Endlicheria griseo-sericea","c","18"
"333","TAM-05","Roucheria punctata","a","6"
"334","TRU-04","Mollinedia ovata","d","18"
"335","PAN-03","Helicostylis tomentosa","f","106"
"336","SPD-02","Caryocar pallidum","a","15"
"337","TAM-05","Brosimum lactescens","a","6"
"338","TAM-06","Leonia glycycarpa","b","12"
"339","PAN-03","Cybianthus indet","f","84"
"340","TAM-05","Talisia cupularis","h","4"
"341","TAM-06","Tapura acreana","h","2"
"342","PAN-03","Guarea macrophylla","d","9"
"343","SPD-02","Mollinedia repanda","c","18"
"344","PAN-03","Cyathea indet","b","9"
"345","SPD-02","Tapirira guianensis","a","1"
"346","TAM-05","Hebepetalum humiriifolium","a","18"
"347","TRU-04","Weinmannia multijuga","c","39"
"348","PAN-03","Miconia splendens","d","91"
"349","SPD-01","Pleurothyrium indet","e","12"
"350","TAM-06","Eugenia indet","h","77"
"351","PAN-03","Ocotea aciphylla","c","9"
"352","SPD-01","Miconia aulocalyx","d","91"
"353","TAM-05","Minquartia guianensis","h","6"
"354","TAM-06","Celtis schippii","a","6"
"355","WAY-01","Morella pubescens","h","17"
"356","SPD-01","Caryocar amygdaliforme","b","21"
"357","TAM-06","Annona foetida","f","35"
"358","SPD-01","Chrysophyllum indet","a","18"
"359","TAM-05","Pleurothyrium indet","e","15"
"360","TAM-06","Virola calophylla","d","15"
"361","SPD-02","Rheedia brasiliensis","f","181"
"362","PAN-03","Ocotea insularis","a","9"
"363","TRU-04","Psychotria indet","e","21"
"364","PAN-03","Qualea paraensis","a","9"
"365","WAY-01","Escallonia myrtilloides","h","15"
"366","ACJ-01","Weinmannia auriculata","d","124"
"367","PAN-03","Inga capitata","d","23"
"368","TAM-06","Pouteria caimito","c","6"
"369","TAM-05","Neea divaricata","h","23"
"370","TAM-05","Matayba arborescens","h","6"
"371","TAM-05","Meliosma herbertii","d","36"
"372","TAM-06","Endlicheria formosa","d","18"
"373","PAN-03","Ocotea cuprea","c","9"
"374","PAN-03","Ocotea indet","b","40"
"375","TAM-05","Virola mollissima","d","15"
"376","TAM-06","Sapium marmieri","d","10"
"377","TAM-05","Micropholis guyanensis","b","18"
"378","TRU-04","Prunus integrifolia","b","24"
"379","SPD-02","Elaeagia mariae","d","16"
"380","TAM-05","Brosimum guianense","c","6"
"381","TAM-06","Nectandra viburnoides","d","9"
"382","ESP-01","Weinmannia crassifolia","a","27"
"383","SPD-02","Pourouma herrerensis","c","18"
"384","TAM-06","Unonopsis matthewsii","f","35"
"385","TAM-05","Hevea brasiliensis","b","18"
"386","TAM-06","Trigynaea ecuadorensis","f","35"
"387","TRU-04","Miconia indet","a","30"
"388","PAN-03","Piptadenia pteroclada","e","15"
"389","TAM-05","Tetragastris panamensis","f","12"
"390","WAY-01","Styrax pentlandianus","h","8"
"391","SPD-02","Endlicheria indet","c","18"
"392","TAM-06","Garcinia macrophylla","f","181"
"393","PAN-03","Pouteria cuspidata","d","32"
"394","SPD-02","Pouteria bilocularis","d","32"
"395","TAM-06","Hirtella excelsa","f","36"
"396","TRU-04","Nectandra indet","d","9"
"397","TAM-05","Ocotea cernua","c","15"
"398","PAN-03","Ferdinandusa chlorantha","e","27"
"399","WAY-01","Clethra castaneifolia","c","15"
"400","TAM-05","Matayba purgans","h","6"
"401","TAM-06","Apeiba membranacea","f","23"
"402","TAM-05","Anthodiscus peruanus","a","12"
"403","PAN-02","Jacaranda glabra","a","12"
"404","PAN-03","Senefeldera inclinata","a","12"
"405","SPD-02","Palicourea indet","e","12"
"406","TAM-06","Ocotea bofo","b","24"
"407","PAN-03","Cecropia indet","d","7"
"408","PAN-03","Inga alba","d","23"
"409","SPD-02","Spirotheca rosea","e","11"
"410","TAM-06","Batocarpus amazonicus","e","4"
"411","TAM-06","Inga striata","d","23"
"412","TAM-05","Virola calophylla","d","15"
"413","TAM-06","Astrocaryum gratum","h","3"
"414","TAM-05","Unonopsis matthewsii","f","35"
"415","ACJ-01","Monnina indet","i","3"
"416","SPD-02","Magnolia amazonica","h","31"
"417","TAM-05","Miconia indet","b","30"
"418","ACJ-01","Clethra indet","c","18"
"419","PAN-03","Eschweilera albiflora","d","12"
"420","TAM-05","Clarisia racemosa","a","6"
"421","SPD-02","Alchornea latifolia","a","25"
"422","TAM-05","Lindackeria paludosa","h","1"
"423","TAM-06","Minquartia guianensis","h","6"
"424","PAN-03","Eriotheca globosa","f","23"
"425","TAM-06","Amaioua guianensis","f","76"
"426","WAY-01","Bejaria aestuans","i","225"
"427","TAM-05","Ferdinandusa loretensis","f","76"
"428","WAY-01","Cinchona macrocalyx","d","33"
"429","SPD-02","Endlicheria macrophylla","a","18"
"430","TAM-05","Dialypetalanthus fuscescens","f","76"
"431","TAM-06","Bertholletia excelsa","f","12"
"432","PAN-03","Miconia tetragona","d","91"
"433","TAM-06","Leonia racemosa","d","12"
"434","SPD-02","Protium montanum","b","12"
"435","TAM-05","Theobroma speciosum","e","12"
"436","TAM-06","Endlicheria krukovii","d","18"
"437","ESP-01","Cyathea pallescens","d","24"
"438","SPD-02","Guatteria glauca","a","18"
"439","TAM-06","Euterpe precatoria","h","3"
"440","TAM-05","Amaioua indet","f","76"
"441","SPD-02","Rauvolfia leptophylla","a","15"
"442","TAM-06","Oenocarpus mapora","h","2"
"443","TRU-04","Clusia flaviflora","b","15"
"444","SPD-01","Protium glabrescens","c","12"
"445","TAM-06","Oenocarpus bataua","h","2"
"446","TAM-05","Cecropia sciadophylla","d","7"
"447","TAM-05","Virola sebifera","b","15"
"448","TAM-06","Inga acrocephala","d","23"
"449","PAN-03","Neea divaricata","h","23"
"450","ESP-01","Meliosma indet","b","6"
"451","TAM-06","Pouteria cladantha","c","6"
"452","PAN-03","Tachigali indet","c","15"
"453","SPD-02","Sapium glandulosum","c","10"
"454","TAM-05","Nectandra cissiflora","d","9"
"455","PAN-03","Pseudolmedia laevigata","b","18"
"456","TRU-04","Miconia galactantha","c","30"
"457","PAN-02","Leonia glycycarpa","b","12"
"458","SPD-01","Posoqueria coriacea","e","16"
"459","TAM-05","Talisia cerasina","h","4"
"460","TAM-06","Pouteria torta","a","6"
"461","TAM-06","Neea indet","h","23"
"462","TAM-05","Trattinnickia aspera","f","12"
"463","TAM-05","Heisteria acuminata","h","17"
"464","ESP-01","Clusia alata","a","24"
"465","PAN-03","Helicostylis elegans","f","106"
"466","SPD-02","Persea areolatocostae","d","36"
"467","TAM-05","Licaria canella","e","15"
"468","TAM-06","Guatteria indet","d","35"
"469","TAM-06","Eschweilera coriacea","b","12"
"470","ESP-01","Myrsine youngii","c","18"
"471","TAM-05","Myrciaria indet","h","9"
"472","PAN-03","Licania octandra","d","18"
"473","SPD-01","Aniba indet","e","12"
"474","TAM-06","Pterocarpus rohrii","d","9"
"475","SPD-02","Matayba guianensis","h","6"
"476","TAM-05","Huberodendron swietenioides","a","12"
"477","PAN-02","Protium amazonicum","d","12"
"478","SPD-02","Guatteria duodecima","c","18"
"479","TAM-05","Ocotea bofo","a","15"
"480","TAM-06","Dussia tessmannii","f","74"
"481","TRU-04","Weinmannia mariquitae","c","39"
"482","PAN-02","Inga indet","b","12"
"483","PAN-03","Aspidosperma rigidum","f","15"
"484","SPD-02","Alchornea brittonii","c","25"
"485","TAM-05","Tachigali polyphylla","a","6"
"486","TAM-06","Pouteria tarapotensis","c","6"
"487","SPD-02","Viburnum hallii","h","89"
"488","WAY-01","Weinmannia indet","c","37"
"489","TAM-06","Rollinia centrantha","f","35"
"490","TRU-04","Solanum indet","h","73"
"491","TAM-06","Sterculia indet","f","23"
"492","PAN-03","Neea virens","h","23"
"493","TAM-06","Piper arboreum","h","45"
"494","SPD-01","Alchornea hilariana","c","15"
"495","TAM-05","Amaioua corymbosa","f","76"
"496","PAN-02","Inga oerstediana","c","11"
"497","SPD-01","Retrophyllum rospigliosii","a","3"
"498","SPD-02","Vismia gracilis","a","10"
"499","TAM-05","Jacaranda copaia","d","12"
"500","TAM-06","Virola flexuosa","d","15"
"501","TAM-06","Tapirira obtusa","b","6"
"502","SPD-02","Inga heterophylla","d","23"
"503","SPD-02","Quiina amazonica","f","18"
"504","ESP-01","Hesperomeles ferruginea","b","15"
"505","PAN-03","Guarea indet","d","9"
"506","PAN-03","Myrcia splendens","h","13"
"507","PAN-03","Pouteria simulans","d","32"
"508","ESP-01","Myrsine andina","b","27"
"509","PAN-02","Cedrelinga cateniformis","b","6"
"510","TAM-06","Urera indet","f","110"
"511","WAY-01","Clusia indet","b","30"
"512","PAN-03","Eugenia indet","h","77"
"513","PAN-02","Hevea brasiliensis","a","18"
"514","TAM-06","Nectandra pulverulenta","d","9"
"515","SPD-02","Pseudolmedia rigida","a","15"
"516","SPD-02","Guatteria ucayalina","c","18"
"517","TAM-05","Mezilaurus subcordata","e","15"
"518","TAM-06","Neea floribunda","h","23"
"519","PAN-03","Erythroxylum patens","h","34"
"520","PAN-03","Myrsine pellucida","d","84"
"521","SPD-01","Panopsis sprucei","h","2"
"522","TAM-05","Miconia trinervia","d","91"
"523","TRU-04","Cyathea indet","b","9"
"524","TAM-05","Sloanea eichleri","d","42"
"525","TAM-05","Ocotea indet","b","40"
"526","WAY-01","Symplocos reflexa","b","27"
"527","PAN-03","Cordia ucayaliensis","h","35"
"528","TAM-05","Hevea indet","d","27"
"529","SPD-02","Ormosia indet","e","15"
"530","TAM-06","Inga dumosa","d","23"
"531","PAN-03","Miconia aulocalyx","d","91"
"532","SPD-02","Persea indet","b","21"
"533","TAM-05","Geissospermum reticulatum","f","15"
"534","TAM-05","Sloanea sinemariensis","b","6"
"535","TAM-05","Helicostylis tomentosa","e","33"
"536","TAM-05","Tachigali indet","c","6"
"537","TAM-06","Mabea speciosa","f","136"
"538","SPD-02","Ficus americana","b","15"
"539","TRU-04","Cyathea lechleri","c","15"
"540","TAM-06","Beilschmiedia tovarensis","f","153"
"541","TAM-06","Tachigali bracteosa","d","36"
"542","TRU-04","Alchornea pearcei","a","30"
"543","SPD-02","Miconia barbeyana","d","91"
"544","ESP-01","Morella pubescens","h","17"
"545","PAN-02","Cabralea canjerana","f","9"
"546","SPD-01","Elaeagia indet","a","16"
"547","SPD-02","Hieronyma fendleri","c","12"
"548","PAN-03","Protium spruceanum","d","12"
"549","TAM-05","Hirtella excelsa","e","18"
"550","PAN-03","Brosimum rubescens","d","10"
"551","TRU-04","Clethra revoluta","d","33"
"552","PAN-03","Sloanea sinemariensis","a","6"
"553","TAM-06","Inga bourgonii","d","23"
"554","TAM-06","Leonia indet","d","12"
"555","PAN-03","Parinari occidentalis","d","18"
"556","TAM-06","Tabernaemontana arcuata","f","15"
"557","WAY-01","Hedyosmum indet","b","30"
"558","ESP-01","Hedyosmum translucidum","a","18"
"559","SPD-02","Neea spruceana","h","23"
"560","WAY-01","Hedyosmum goudotianum","b","21"
"561","PAN-03","Siparuna tomentosa","h","12"
"562","PAN-03","Unonopsis spectabilis","f","35"
"563","TAM-06","Eugenia ochrophloea","h","77"
"564","TRU-04","Gordonia planchonii","c","27"
"565","PAN-02","Pseudolmedia rigida","a","18"
"566","PAN-03","Marila indet","d","12"
"567","SPD-02","Bactris setulosa","h","5"
"568","TAM-06","Inga auristellae","d","23"
"569","SPD-02","Sapium laurifolium","a","10"
"570","TAM-05","Nectandra viburnoides","d","9"
"571","TAM-06","Guarea macrophylla","d","9"
"572","TAM-06","Sloanea fragrans","d","42"
"573","TAM-06","Inga edulis","d","23"
"574","TAM-06","Tapura juruana","h","2"
"575","TRU-04","Miconia coelestis","c","30"
"576","PAN-03","Couepia indet","f","36"
"577","SPD-02","Alchornea indet","c","25"
"578","TAM-05","Sloanea terniflora","d","42"
"579","TRU-04","Ocotea indet","a","28"
"580","TRU-04","Meliosma frondosa","b","30"
"581","TAM-05","Brosimum alicastrum","b","4"
"582","TAM-06","Neea ovalifolia","h","23"
"583","PAN-02","Qualea paraensis","b","9"
"584","SPD-02","Trichilia micrantha","e","9"
"585","TAM-06","Porcelia nitidifolia","f","35"
"586","WAY-01","Ilex sessiliflora","d","15"
"587","PAN-03","Trattinnickia burserifolia","f","12"
